
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"sourcebus.1"      ,    0.00000,  7.19936E+0003,  7.19956E+0003
"sourcebus.2"      ,    0.00000,  7.19937E+0003,  7.19956E+0003
"sourcebus.3"      ,    0.00000,  7.19936E+0003,  7.19956E+0003
"n2.1"             ,    0.00000,  7.11068E+0003,  7.19956E+0003
"n2.2"             ,    0.00000,  7.13331E+0003,  7.19956E+0003
"n2.3"             ,    0.00000,  7.12177E+0003,  7.19956E+0003
"n3.1"             ,    0.00001,  2.24939E+0003,  2.40178E+0003
"n3.2"             ,    0.00001,  2.26283E+0003,  2.40178E+0003
"n3.3"             ,    0.00001,  2.25920E+0003,  2.40178E+0003
"n4.1"             ,    0.00005,  1.91955E+0003,  2.40178E+0003
"n4.2"             ,    0.00006,  2.05380E+0003,  2.40178E+0003
"n4.3"             ,    0.00004,  1.98610E+0003,  2.40178E+0003

Max Error =    0.00006
