
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus        Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus     66.39          1    0.00167   0.002516 4.32E-009 6.506E-009
650           2.402     0.9999  7.98E-005   0.003323 1.581E-005 0.0006585
rg60          2.521       1.05     0.0149     0.5911   0.01497    0.5936
633           2.436      1.014    0.01153     0.4734   0.02857     1.173
634          0.2753     0.9936   0.001616     0.5867  0.003652     1.326
671           2.394     0.9969    0.04166       1.74   0.08505     3.552
645           1.622     0.6754     0.8136      50.15    0.8088     49.86
646           2.452      1.021          0          0         0         0
692           2.394     0.9969    0.04166       1.74   0.08505     3.552
675           2.389     0.9948    0.04486      1.878   0.09028     3.778
611           2.311     0.9621          0          0         0         0
652           2.343     0.9756          0          0         0         0
670           2.424      1.009    0.02174     0.8969   0.04652     1.919
632           2.442      1.017    0.01148     0.4703   0.02761     1.131
680           2.394      0.997    0.04154      1.735   0.08498     3.549
684           2.356     0.9811          0          0         0         0
